INTERVENCIONES EN TRÁFICO ILÍCITO DE DROGA Y DROGA DECOMISADA POR TIPO, 1985 - 2019;;;;;;;;;;;;;;;;;;;;;;;;
 (Casos registrados);;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Años;Números de Intervenciones;Total;;Tipo de droga decomisada (Kg);;;;;;;;;;;;;;;;;;;;
;;;;Pasta Básica de Cocaína;Clorhidrato de Cocaína;Marihuana;Opio;Otros;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1985;1 813;3 752;;3 494; 26; 152;  80;-;;;;;;;;;;;;;;;;
1986;1 922;2 286;;2 028; 12; 246;-;-;;;;;;;;;;;;;;;;
1987;2 237;4 190;;4 022; 28; 140;-;-;;;;;;;;;;;;;;;;
1988;1 247;8 778;;8 145; 419; 214;-;-;;;;;;;;;;;;;;;;
1989; 605;2 923;;2 637; 73; 213;-;-;;;;;;;;;;;;;;;;
1990; 692;5 725;;4 933; 500; 292;-;-;;;;;;;;;;;;;;;;
1991; 828;6 234;;5 264; 595; 375;-;-;;;;;;;;;;;;;;;;
1992;3 180;7 776;;7 472; 185; 119;-;-;;;;;;;;;;;;;;;;
1993;3 862;9 295;;8 431; 424; 440;-;-;;;;;;;;;;;;;;;;
1994;4 551;11 620;;10 541; 94; 404;-;-;;;;;;;;;;;;;;;;
1995;7 102;23 932;;13 965;3 605;6 362;-;-;;;;;;;;;;;;;;;;
1996;8 240;170 176;;18 689;1 006;150 481;-;-;;;;;;;;;;;;;;;;
1997;9 741;172 723;;8 796;2 315;161 610;-;-;;;;;;;;;;;;;;;;
1998;11 606;29 829;;8 187;1 750;19 880;-;  12;;;;;;;;;;;;;;;;
1999;11 457;15 430;;7 282;4 025;4 056;-;-;;;;;;;;;;;;;;;;
2000;13 284;43 572;;9 011;2 837;31 202;  508;  14;;;;;;;;;;;;;;;;
2001;11 358;50 044;;6 274;2 915;40 708;  147;-;;;;;;;;;;;;;;;;
2002;11 670;121 355;;10 439;4 129;106 520;  245;  22;;;;;;;;;;;;;;;;
2003;10 608;27 763;;4 366;3 574;19 294;  182;  347;;;;;;;;;;;;;;;;
2004;9 597;15 615;;6 346;7 304;1 513;  166;  286;;;;;;;;;;;;;;;;
2005;11 259;18 019;;4 583;11 763;1 159;-;-;;;;;;;;;;;;;;;;
2006;7 574;16 718;;4 852;10 409;1 352;-;-;;;;;;;;;;;;;;;;
2007;9 939;15 684;;6 261;8 136;1 161;-;  126;;;;;;;;;;;;;;;;
2008;12 332;30 623;;11 375;16 836;2 275;-;-;;;;;;;;;;;;;;;;
2009;12 754;22 842;;9 914;10 744;2 109;-;  75;;;;;;;;;;;;;;;;
2010;12 556;35 041;;13 491;17 658;3 871;-;  21;;;;;;;;;;;;;;;;
2011;12 678;27 785;;13 975;10 758;3 048;-;  4;;;;;;;;;;;;;;;;
2012;14 723;35 414;;19 697;12 677;2 967;-;  73;;;;;;;;;;;;;;;;
2013;13 368;28 003;;10 841;13 332;3 761;-;  69;;;;;;;;;;;;;;;;
2014;14 642;33 844;;11 117;18 700;4 019;-;  9;;;;;;;;;;;;;;;;
2015;18 075;112 213;;11 739;8 465;91 995;-;  14;;;;;;;;;;;;;;;;
2016;17 349;35 733;;14 035;13 959;7 729;-;  9;;;;;;;;;;;;;;;;
2017;18 214;52 088;;15 358;21 408;15 308;-;  14;;;;;;;;;;;;;;;;
2018;15 607;57 057;;14 732;20 550;21 773;-;  2;;;;;;;;;;;;;;;;
2019;12 660;61 424;;16 155;25 050;20 186;-;  34;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: Ministerio del Interior (MININTER) - Oficina de Planeamiento y Estadística.;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
